Front,Back
Stored XSS,"The malicious script is permanently stored on the target server and served to users when 
they access a particular web page.
Example: Attacker posts a malicious script in a forum comment, 
and all visitors who view that comment are exposed to the script."
Reflected XSS,"The malicious script is embedded in a URL, email, or other input, 
and it's reflected off a web server to a user's browser.
Example: Attacker sends a phishing email containing a link with a malicious script. 
When the victim clicks the link, the script is executed in their browser."
DOM-Based XSS,"The attack occurs entirely on the client-side, with the malicious script manipulating the Document 
Object Model (DOM) of a web page.
Example: JavaScript on a web page reads a user's input and injects it into 
the DOM without proper validation, allowing for script execution."
Classic SQL Injection," Attackers insert malicious SQL queries into user input fields, 
often to extract or manipulate database data.
Example: A login form doesn't properly validate input, 
and an attacker enters ' OR '1'='1 as the username and password to bypass authentication."
Blind SQL Injection," Similar to classic SQL injection but without visible error messages. 
Attackers infer information by crafting queries that produce different responses.
Example: Attacker sends requests 
that ask true/false questions to the database to deduce sensitive information."
Time-Based Blind SQL Injection,"This is a variation of blind SQL injection where attackers delay
 the server's response to infer information.
Example: Attacker injects a query that causes a delay, 
and if the server's response time changes, they can infer whether a condition is true or false."
Out-of-Band SQL Injection,"Attackers retrieve data through an alternate channel 
(e.g., DNS requests or HTTP requests) rather than receiving 
the data in the web application's response.
Example: Malicious SQL queries trigger
 DNS requests that the attacker monitors to obtain extracted data."
Second-Order SQL Injection," Similar to blind SQL injection, but the payload isn't immediately executed.
 It's stored and executed later, potentially affecting a different user.
Example: Attacker injects SQL code that's stored in a database. 
When another user accesses the compromised data, the payload executes."
CVE-2017-0144,"also known as EternalBlue, is a critical remote code execution vulnerability 
in Microsoft Windows' Server Message Block (SMB) protocol. 
It was famously used in the WannaCry ransomware attack in 2017."
CVE-2014-0160 ,"Heartbleed, is a severe security vulnerability in the OpenSSL cryptography library. 
It allows attackers to read sensitive data from the memory of a web server or client, 
including private keys."
CVE-2016-5195," Dirty COW (Copy-On-Write), is a privilege escalation vulnerability in the Linux kernel. 
It's called ""dirty"" because it can be exploited by modifying read-only memory."
CVE-2021-44228," Log4Shell, is a critical vulnerability in the Apache Log4j 2 library, 
a widely used logging utility in Java applications. It allows remote code execution."
CVE-2021-26855,"ProxyLogon is a vulnerability affecting Microsoft Exchange 2013, 2016, and 2019. 
It allows an adversary to bypass authentication and thus impersonate an administrator"
CVE-2020-1472,"critical Windows vulnerability allowing attackers on the 
same network to take control of a domain controller,"
OSSTMM,"Open Source Security Testing Methodology Manual. 
This methodology focuses on measuring the security of a system. 
It  covers areas like information security, process security, and internet  security. 
It's more quantitative and aims to provide a comprehensive  assessment of security."
OWASP,"(Open Web Application Security Project): OWASP provides  a framework 
for testing web applications and services. It's known for  its ""Top Ten"" list of the most critical 
web application security risks,  which is regularly updated to reflect current threats."
NIST,"(National Institute of Standards and Technology): NIST  has published guidelines for conducting 
penetration testing. It  emphasizes the importance of defining the scope, objectives, 
and rules  of engagement for a penetration test."
PTES,"(Penetration Testing Execution Standard): PTES is a  comprehensive standard that defines
 a holistic approach to penetration  testing. It covers everything from scoping and intelligence 
gathering to  the final reporting phase."
CIS,"(Center for Internet Security): CIS provides guidelines  for conducting security assessments, 
which can include penetration  testing. Their focus is on best practices 
for securing systems and  networks."
ISSAF,"(Information Systems Security Assessment Framework):  
ISSAF is a framework that helps assess the security of information  systems. 
It includes various methodologies and tools for conducting  penetration tests."
What does bloodhound?,"BloodHound helps you visualize how attackers could move through an AD network 
if they were able to compromise certain user accounts or systems. 
It maps out the relationships and permissions between users, groups, and computers within the AD domain. 
By doing this, it can reveal vulnerabilities, misconfigurations, or weak points in the network's security."
Explain SCF File Attacks,"In an SCF file attack, the attacker creates a specially crafted SCF file that 
takes advantage of the way Windows handles these shortcut files. When the victim opens or even previews the SCF file, 
Windows automatically attempts to load icon resource information from it. 
This automatic behavior can be exploited by attackers to gather sensitive 
information like NTLMv2 hashes when the victim accesses the malicious SCF file over an SMB (Server Message Block) share"
CSRF,"CSRF, or Cross-Site Request Forgery, is an attack where an attacker tricks a user into unintentionally performing actions 
on a website without their knowledge or consent. This is typically done by getting the user to click on a malicious link or visit 
a website that contains malicious code. For example, let's say you're logged into your online banking account in one browser tab 
and you visit another website in a different tab. If the second website has malicious code, it could secretly send requests to 
your banking account in the background without you knowing. These requests might include transferring money or changing your password, 
all without your consent."
Vertical privilege escalation,"If a user can gain access to functionality that they are not permitted to access then this is vertical privilege escalation. For example, if a non-administrative user can gain access to an admin page where they can delete user accounts, then this is vertical privilege escalation."
Horizontal privilege escalation,"Horizontal privilege escalation occurs if a user is able to gain access to resources belonging to another user, instead of their own resources of that type. For example, if an employee can access the records of other employees as well as their own, then this is horizontal privilege escalation."
